Text_id,Text,Category,entity,entity_ID,Priority,Source,Target,Domain 1,Domain 2,Parent_entity,Hierarchy_level
,The hereditary process and the gradual evolutionary changes in living entities could be explained by the inheritance of and the gradual changes in the information imprinted in the sequences of chemical units that make up the DNA of genes.,Dogma,Gene and genome,gen,GG4,DNA,DNA,,,Gene and genome,1
,"... “gene action,” matter comes to life. As the biologist Peter Medawar expressed it, embryonic development must be “an unfolding of pre- existing capabilities, an acting out of genetically encoded instructions.” All that was left to do was to read those instructions.",Dogma,Gene and genome,gen,GEG1,DNA,Phenotype,,,Gene and genome,1
,"“The approach of genetics,” said biologist David Baltimore in 1984, “is to ask about blueprints, not machines; about decisions, not mechanics.”",Dogma,Gene and genome,gen,GG5,DNA,Phenotype,,,Gene and genome,1
,Genes are bits of DNA in our chromosomes that encode mole cules called proteins. The entirety of our personal genes constitutes our genome.,Dogma,Gene and genome,gen,GG1,DNA,Protein,,,Gene and genome,1
,We inherit a blueprint for ourselves from our biological parents: it is a shuffled mixture of both their genomes.,Dogma,Gene and genome,gen,GG2,DNA,DNA,,,Gene and genome,1
,"This instruction book of DNA is read out in the processes called and translation. In transcription, the information transcription in a gene is copied into a strand of RNA, which has a chemical structure very similar to DNA. That RNA strand is then used as structure very similar to DNA. That RNA strand is then used as a template for making a protein.",Dogma,DNA,DNA,CDG2,DNA,RNA,,,DNA,1
,"Most proteins are enzymes, and they orchestrate and catalyze the chemical processes by which cells metabolize, grow and divide...The exquisite actions of proteins enable the construction and maintenance of cells, the most fundamental components of truly living systems.",Dogma,Protein,Prot,PRT1,Protein,Phenotype,,,Protein,1
,"Our cells are programmed by genes to assemble into tissues and organs.....Interpreted in modern terms, Mendel’s observations on patterns of inheritance imply that the trait- determining genes come in different varieties, called alleles. For each gene, you get one allele from your father and one from your mother. (They each have two, and which one you get is determined at random.) The maternal and paternal alleles may or may not be the same; if they differ, each may give rise to different versions of the respective trait.......some traits are, on the contrary, blended when inherited from parents. But of course that often the case, for example with skin pigmentation is or height. Some traits do seem to be inherited discretely— eye and hair color are often cited as typical examples, although the truth is more complicated— while others appear to vary continuously....From the 1910s, the British scientists Ronald Fisher and J. B. S. Haldane and others developed mathematical models of how different alleles spread through a population under the influence of Darwinian natural selection, which favors alleles associated with traits that give individuals an adaptive advantage. Using statistical reasoning, which Fisher pioneered, these models were able to handle traits influenced by more than one gene, some of which might manifest as graduated rather than discrete variations. This work reconciled the discrete inheritance of traits apparently demanded by Mendel’s results with the blending seemingly implied by Darwin’s theory....Imagine an ideal situation in which two individuals have fully sequenced genomes that are identical except for just one difference in a specific gene—say, Alice, one of our almost-identical twins, has allele 1, and the other, Amy, has allele 2, which has a single difference in one base pair of the corresponding section of DNA. Say now that they also have identical traits and appearance, except for one detail: Alice has blue eyes, Amy’s are green. Let’s say we’ve established that eye color is strongly inherited: it seems to be mostly a matter of genes. It seems reasonable then to assume that the genetic difference is the cause of the phenotypic difference.",Dogma,Gene and genome,gen,GG3,DNA,Phenotype,,,Gene and genome,1
,"But in fact there never was a proper reconciliation of the “evolutionary gene” that mediates inheritance and the molecular gene that acts somehow in cells to shape an organism through development. Genes undoubtedly have a special role in evolution, for they are the only aspect of the organism that is directly passed on between many successive generations. To some evolutionary biologists, genomes are thus synonymous with the organism, the rest being dispensable detail.",Dogma,Gene and genome,gen,GEG2,DNA,DNA,,,Gene and genome,1
,"..., “the main function of the genetic material is to control . . . the synthesis of proteins.” He suggested that DNA carries at least some of the that specifies the chemical structure of information a protein.",Dogma,DNA,DNA,CDG3,DNA,Protein,,,DNA,1
,"In an informal note in 1956, Crick came up with what he called the “Central Dogma” of biology, which specifies the direction in which information is transferred from molecule to molecule in protein synthesis: it goes from DNA to the intermediary RNA, and from RNA to protein. To “play safe,” Crick allowed for the possibility that information might somehow go back from RNA to DNA, and perhaps directly from DNA to protein, even though there was then no evidence of either process. But once the information was in the protein, it could never flow back to DNA or RNA, or indeed laterally from one protein to another.",Dogma,DNA,DNA,CDG1,Phenotype,Other,,,DNA,1
,"There are just four types of DNA base, but twenty amino acids in naturally occurring proteins, so it takes more than one base to encode each amino acid uniquely. Indeed, we can deduce purely on mathematical grounds that you need at least three bases per amino acid, because there are 4 × 4 = 16 permutations of pairs of the four bases— not enough to encode each amino acid uniquely— but 4 × 4 × 4 = 64 distinct triplets. This gives rather more different triplets than is needed for this “genetic code,” but maybe some triplets are ignored or used as alternative ways of encoding the same amino acid?....As David Baltimore put it in 1984, “The cell’s brain had been found to be a tape reader scanning an array of information encoded as a linear sequence, that is ultimately translated into three- dimensional proteins.” This, it seemed, is how life works....Later in 1961 Crick wrote a paper outlining the key principles of the genetic code. It is, he said, a triplet code that is read out linearly from a fixed starting point, and is degenerate, meaning that each amino acid might correspond to more than one base triplet (or codon). The race then began to crack the full code linking base-pair triplets to amino acids, a project completed in 1967. The task was more challenging than some had expected, partly because not all of the codons encode amino acids. Three are instead instructions to stop the enzyme RNA polymerase from reading the DNA sequence, signaling the end of a gene.",Dogma,DNA,DNA,CD4,DNA,Protein,,,DNA,1
,Specialized enzymes and protein assemblies carefully orchestrate the process of restructuring and repacking chromatin.,un-dogma,Chromatin,Chr,CHR3,Protein,DNA,Chromatin structure,,DNA,2
,"There are in fact two types of chromatin in the nucleus while a cell is not dividing and its chromosomes remain unpacked. The most abundant form is called euchromatin, and it is relatively open, a bit like a polymer gel. The other form, heterochromatin, is more compact, with a density comparable to that of the X- shaped chromosomes during cell division, and is confined to a few small patches. It’s tempting to suppose that euchromatin is “active” DNA, which is loose enough to let the transcription apparatus get to work on it, whereas heterochromatin is compressed for storage, like a big data file. But it’s not so simple, sadly: even chromosomes containing a large amount of dense heterochromatin can be transcriptionally active, for example.",un-dogma,Chromatin,Chr,CHR1,DNA,Protein,Chromatin structure,,DNA,2
,"If all of this complexity destroys the pretty illusion created by the iconic double helix as a transparent repository of genetic information, it also opens up a much richer panorama. The fundamental mechanism of information storage and transfer in nucleic acids— complementary base pairing— is so elegant that it risks blinding us to the awesome sophistication of the full process of getting that information in and out, let alone what it actually means. The molecules do not simply wander up to one another and start talking. You might say that they must first be assigned that task, and must then petition higher levels of organization before permission is granted. For gene transcription is carefully regulated.",un-dogma,Chromatin,Chr,CHR4,DNA,Transcription,Chromatin structure,Signaling Network,DNA,2
,"For example, genes on DNA are accompanied by sequences near (and “upstream” of, in terms of the direction of readout) their start, typically a hundred to a thousand base pairs long, called promoter sites. Particular proteins must bind to these regions in order for transcription by RNA polymerase to begin. Several different molecules, especially proteins called transcription factors, are involved in this initiation process. What happens at a promoter site deter mines whether transcription happen; but the chance that it can will is influenced by DNA sequences called enhancers, of which there are hundreds of thousands in the human genome, typically fifty to fifteen hundred base pairs long. Perplexingly, enhancers may sit a long way away from the gene they influence— perhaps as many as a million base pairs or so. What’s more, genes don’t necessarily have their own dedicated enhancers; some may share enhancers and thus may be co- regulated, even if the genes themselves lie very far apart along a particular chromosome.",un-dogma,Enhancer,Enc,Enc2,Transcription,DNA,non-linear DNA interactions,,DNA,2
,"In this way, gene duplication is thought to be a source of evolutionary innovation, making new kinds of behavior or organism possible. There are many known examples where gene duplication is adaptive, such that it seems to be selected for in organisms exposed to stresses such as heat, cold, or high concentrations of salts or toxic metals. Of course, such duplications don’t happen in order for that innovation to occur; they are likely to be random in themselves. A harder question to answer (for which there is not yet any consensus) is whether, because of its potential benefits, some degree of gene duplication is actively permitted, rather than simply slipping past the cell’s mechanisms for ensuring the fidelity of DNA replication....As well as the complication of gene duplication, the picture of an orderly, linear arrangement of genes along DNA is undermined by the fact that some genes can overlap: the same bit of DNA can encode more than one RNA transcript. Such overlaps are particularly common in viruses and bacteria, where the genomes are very compact and space- efficient— but they are found in the human genome too. Overlapping genes cannot therefore be equated with unique and exclusive DNA sequences.",un-dogma,Gene and genome,gen,EN8,DNA,DNA,gene duplication,,Gene and genome,1
,"The prevailing view up to the 1980s and 90s was that somehow the activation— the technical term is expression— of a gene to make a protein leads to some specific physiological or developmental outcome, and that there thus is a fairly direct link between genotype and phenotype, and a of one to the other. Certain alleles should lead mapping predictably to certain traits.",Dogma,Gene expression,gen_X,Lac1,DNA,Protein,,,Gene expression,1
,"Many genes seemed to have more than one phenotypic effect, and they were sometimes so different in different experiments or contexts that it was hard to fathom how there could be any relation between them.",un-dogma,Gene and genome,gen,GE1,DNA,Phenotype,Pleiotropic gene,,Gene and genome,1
,"In work that won them the 1995 Nobel Wingless Prize in Physiology or Medicine, geneticists Christiane Nüsslein- Volhard and Eric Wieschaus showed that this gene (wg for short) is involved in the formation of body segments of the fly embryo. If the embryos lack the right segments because of a mutation, they can’t wg develop wings. Jump now to research in the early 1980s by Roel Nusse and Harold Varmus on cancer in mice. The two researchers were studying a virus that caused tumors to grow in infected mice, because of its ability to induce genetic mutations. They found that one gene in particular became problematic— a so- called oncogene, meaning that it was apt to cause cancer when mutated. They gave it the anodyne name Int1 because it was associated with cancer- linked genomic regions called integration sites.",un-dogma,Gene and genome,gen,GE2,DNA,Phenotype,Pleiotropic gene,,Gene and genome,1
,"Given all this, it is far from clear how we should interpret the notion of “genetic control of development and behavior.” Genes may influence these things, but we often have no idea how, nor can we predict the phenotypic consequences of genetic changes.",un-dogma,Gene and genome,gen,GDD1,DNA,Phenotype,DNA is not all that,,Gene and genome,1
,"Even at its outset, it faced the somewhat troubling issue that just 2 percent or so of our genome actually accounts for protein-coding genes.",un-dogma,Gene and genome,gen,EN1,DNA,Protein,,,Gene and genome,1
,"Some stretches of DNA are classed as pseudogenes, which were once thought to be formerly functional genes now degraded and rendered useless, but which may actually play important biological roles. It has been estimated that up to 20 percent of pseudogenes in the human genome are still transcribed, suggesting that they’re useful for something. What’s more, pseudogenes can be “resurrected” as genes with new functions: the important gene called is one such. Like “junk DNA,” “pseudogene” Xist carries a dismissive connotation that actively discourages its investigation, implying almost a sense of distaste or disapproval.",un-dogma,Junk DNA,JUNKd,JK3,DNA,Transcription,RNA encoding DNA,,DNA,2
,"For one thing, we now know that some sections of DNA that are conserved, inherited, and correlated with traits— that is, meeting the criteria one might reasonably associate with the traditional idea of a gene— don’t code for proteins at all. Rather, they act as templates for RNA molecules that have important roles in the cell in their own right. We’ll see later what some of these roles are. Confusingly, such DNA sequences are said to be “noncoding,” even though they encode important information, because of do the traditional association of DNA coding and of a genetic code with proteins.",un-dogma,Junk DNA,JUNKd,JK4,DNA,RNA,RNA encoding DNA,,DNA,2
,"One recent suggestion is that a gene gene be defined as “a union of genomic sequences encoding a coherent set of potentially overlapping functional products.”....Developmental biologist Fred Nijhout has offered a different, rather more general definition of the gene. They are, he says, “passive sources of materials upon which a cell can draw, and are part of an evolved mechanism that allows organisms, their tissues and their cells, to be independent of their environment by providing the means of synthesizing, importing or structuring the substances . . . required for metabolism, growth and differentiation.”",un-dogma,Gene and genome,gen,GE3,DNA,DNA,RNA encoding DNA,,Gene and genome,1
,"Whatever it is that genes have been traditionally said to do in the cell might then be better ascribed to events happening all over the genome. There are functional in the genome, but they are modules not laid out in a nice, linear, static format. They may overlap, or be broken into scattered parts, and the functioning of one part might rely on the involvement of another, sometimes considerably distant, part.",un-dogma,Enhancer,Enc,Enc1,DNA,DNA,Chromatin Structure,,DNA,2
,"Let me just point out here how these textbook examples, like hair color or the features of Mendel’s peas, tend to be literally superficial characteristics, which differ just in visual appearance. In other words, they tend to ask “What are the genetics that make one person’s eyes look different from another’s?,” rather than “What are the genes that shape eyes, or bodies?” That would be a much more complex, and for that reason more revealing, question about “what genes do.”....Many traits are not simply this or that—blueb eyes or green—but are differences of degree: how tall are they, how do they score in IQ tests, what are their risks of heart disease? Then we might ask how much the spread in height difference, technically called the variance, can be statistically correlated with differences in genetics. We don’t need to know anything at the outset about which genes to look at to “explain” such variance. Indeed, the whole point of an analysis like this is that we don’t know which genes matter. By making comparisons of the entire genome sequences of the individuals, we can find which genes seem to “make a difference” and which don’t. To state it more precisely, we are looking here for correlations between variations in genes and in traits, but we can’t be sure that this means the genes “make” the difference.....Robert Plomin has asserted, for example, that make in terms of personality and traits, genes are what really matter: for intelligence (as measured by IQ or academic attainment), say, parents “matter, but they don’t make a difference.” At face value this is simply an unintelligible claim— how can something matter if it doesn’t make a difference? But Plomin is using “difference” in a very specific way. He means that only the genetic component of variance in intelligence (over a large sample of individuals) can be systematically interpreted: variations in genes are correlated with these these variations in cognitive ability.......a gene-centric view of life demands a targeted misattribution of agency. Notice too that even the genetic component of a complex trait like intelligence relates to statistical variance. It is not deterministic, but probabilistic. This is generally the case for polygenic traits: the genetic influence is visible on average, but it can’t predict individual cases. One might be able to say, for example, that a baby with a particular profile of the genes identified in a genome-wide association studies (GWAS) as being correlated with IQ16 has a 45 percent chance of being in the top 20 percent of school achievers. In a case like that, this is probably pretty much as good a prediction as you’ll ever get from genes alone.",un-dogma,Gene and genome,gen,GE4,DNA,Phenotype,DNA is not all that,,Gene and genome,1
,"For one thing, Genome-Wide Association Studies that aim to link traits to variations in genomic sequence highlight sections of DNA smaller than a gene— typically just a single SNP. And almost 90 percent of these SNPs are not in protein- coding genes at all, but in the non- coding DNA between them. ... at least some of this component of the genome encodes RNA molecules that play key roles in the of genes. Most complex traits seem to regulation be associated with these noncoding regions (which, remember, often encode functional molecules, but RNAs rather than proteins).",un-dogma,Gene and genome,gen,GE5,DNA,RNA,genetic variation,RNA encoding DNA,Gene and genome,1
,"What’s more, the many genes linked to IQ are sure to be implicated in other traits too— perhaps neuroticism or schizophrenia. There are no isolable “intelligence genes.” If we select embryos for highly polygenic traits like this, we will have little idea for what else we might be selecting....Even for traits that show a strong heritability, such as height, the genetic component derives from the tiny effects of many genes rather than big effects from just a few. This can make it very difficult to figure out what the respective genes are doing—or indeed, how causally relevant they really are.",un-dogma,Gene and genome,gen,GE6,DNA,Phenotype,genetic linkage,,Gene and genome,1
,"Pritchard and colleagues suggest that most diseases are directly affected by only a relatively small number of genes, and that these tend to be involved in cell processes that are important for how the disease manifests....The omnigenic model has implications for evolution too. Natural selection doesn’t work directly on genes, but rather, on the organisms that carry them....This “omnigenic” model means that some genes can have a significant role in the development of a trait or disease while accounting for only a tiny part of the heritability or indeed the risk of that condition....Instead, the “global” activity of the genome sets the state of a cell or tissue such that it is at greater or lesser risk of the disease developing. This complexity of dynamic interactions throughout the genome, along with the ambiguity of what a gene even as a meaningful functional unit, suggests that perhaps we is should really be trying to understand inheritance not on the basis of genes but of what is really passed to offspring: their entire genome....For such reasons alone, a genome sequence can never “fully specify the organism”: how it will grow, how it will look, how it will behave— or in short, how it works.",un-dogma,Gene and genome,gen,OG1,DNA,Phenotype,omnigenic,,Gene and genome,1
,"Is the genome to specify an organism (as informationally complete we surely might expect of an instruction book or a blueprint)? The answer to that is an unequivocal “No.” You can’t compute from the genome how an organism will turn out, not even in principle. There is plenty that happens during development that is not hardwired by genes. And from a single protein- coding gene, you can’t even tell in general what the product of its expression will be, let alone what function that product will serve in the cell. You couldn’t even predict build a cell— for the simple reason that a genome that a genome will build a cell. Rather, the cell is a precondition for anything the can’t genome do.",un-dogma,Gene and genome,gen,GD1,DNA,Phenotype,DNA is not all that,,Gene and genome,1
,"That view was challenged by the Oxford biologist Walter Frank Raphael Weldon, who believed (rightly) that the developmental and environmental context of an organism could also make itself apparent in the phenotype, so that characters could be more variable than the Mendelians allowed.",un-dogma,Gene and genome,gen,GD2,Environment ,Phenotype,Environmental regulation of phenotype,,Gene and genome,1
,"Although there is no selective process that directly “sees” the genes— selection is a matter of how good the whole organism is at reproducing— nonetheless the effects of selection are felt in the genome....to say that different alleles of the same gene compete with one another, while different genes on the same genome cooperate. The first is a story about evolution (and unfolds on an evolutionary timescale), the second about development (and unfolds in a lifetime, or a gestation period).",un-dogma,Gene and genome,gen,GD3,DNA,DNA,heritability,,Gene and genome,1
,"Any change to the genotype that does affect the phenotype, meanwhile, must experience selective pressure to some degree. And any aspect of the phenotype that isn’t influenced by the genotype is evolutionarily irrelevant because it won’t be inherited.",un-dogma,Gene and genome,gen,GD4,DNA,Phenotype,heritability,,Gene and genome,1
,"Rather, the effects of a mutation may reverberate around the networks of interaction between genes, their transcription products, proteins, cells, and beyond, so delicately and deeply that formal measures of causation will reveal next to nothing of the gene’s influence once we arrive at the phenotype.",un-dogma,Mutation,Mut,Mut1,DNA,Phenotype,Signaling Network,,DNA,2
,"On the contrary, research over the past two or so decades has shown that what governs transcription represents a distinct and crucial stage in the hierarchical process of how life works, with its own logic and rules. Arguably it is here that we begin to see how life is not a mechanical process that transmits information and organization steadily and predictably along linear pathways from genes to ever increasing scales. Instead it is a cascade of processes, each with a distinct integrity and autonomy, the logic of which has no parallel outside the living world.",un-dogma,Gene expression,gen_X,GP1,Transcription,Transcription,Signaling Network,,Gene expression,1
,"RNA can also act as a chemical catalyst; in the 1980s biochemist Thomas Cech and molecular biologist Sidney Altmann found that some natural RNA molecules act as “RNA enzymes” or ribozymes, facilitating certain chemical reactions. This has led some researchers to suggest that RNA might predate both DNA and proteins in the origin of life, as a central component of chemical systems that could both replicate (and evolve by mutation) and conduct metabolic reactions.",un-dogma,RNAzyme,Zy_R,Z1,RNA,RNA,RNA is all that,,RNA,2
,"An RNA intermediary creates a buffer layer and gives flexibility and versatility to the readout process from the genome. It also allows many protein molecules to be produced rapidly from a single piece of DNA, a bit like making many copies of a book so that readers can all access the information simultaneously rather than each having to read the original in turn.",un-dogma,RNA,RNA,RNA4,Transcription,RNA,RNA is all that,,RNA,1
,"Biologists were puzzled to find that in eukaryotic cells, much more RNA seemed to get transcribed than was exported out of the nucleus as mRNA to be translated by the ribosome. Much of this so- called heterogeneous nuclear RNA (hnRNA) gets broken down soon after it is made. Why all this excess production and waste?",un-dogma,hnRNA,hnR,hn1,Transcription,RNA,RNA is all that,,RNA,2
,"Soon afterward, researchers began to compare the base sequences of mRNA with those of the genes from which they were generated, and found that the DNA sequences were full of segments that didn’t feature in the mRNA. The mRNA was a total patchwork of pieces, the discarded sequences (which became known as introns) being edited out before the mRNA was presented to the ribosome for translation. The retained sequences are called and are spliced back together exons after the introns are removed. If the hnRNA transcribed from a gene looks like tfbehxubvinpmws, editing out the gray intron regions gives you “this.” It soon became clear that human genes are full of introns.",un-dogma,hnRNA,hnR,hn2,RNA,Transcription,Splicing,,RNA,2
,"Exon splicing seems to challenge the economy we might expect from life. Why go to all the bother of faithfully storing (in DNA) and transcribing (into what was then called hnRNA) all the introns, if they’re not needed in mRNA to make a protein? Besides, how do the molecules of transcription know which bits to remove and which to retain?",un-dogma,hnRNA,hnR,hn3,RNA,RNA,Splicing,,RNA,2
,"...chromosomes in fixed locations, like beads on a string. But in experiments at Cold Spring Harbor, McClintock found that some sections of the maize genome seemed to hop about within the chromosomes. These became known as transposons, or informally, as jumping genes....McClintock found that some transposons, when they jumped to a different part of a chromosome, would influence the activity of genes nearby. This regulatory action, she rightly perceived, was actually a more significant matter than the mere mobility of pieces of DNA.",un-dogma,jumping genes,ju_gen,J1,DNA,DNA,non-linear DNA interactions,,DNA,2
,"It (genome) is dynamic, and moreover it is responsive, rearranging when subjected to environmental stresses.",un-dogma,jumping genes,ju_gen,J2,DNA,Environment ,non-linear DNA interactions,,DNA,2
,"Jacob and Monod showed that the genes encoding these enzymes are equipped with switches that are flipped by a “repressor” protein called Lac1 If there is no lactose around, Lac1 keeps the genes encoding lactose- metabolizing enzymes switched off. The protein binds to a section of DNA called the operator, located just before the enzyme-encoding genes, where it stops RNA polymerase from binding to a nearby “promoter” site and reading the genes downstream. But when there is lactose present, the sugar itself (or strictly speaking, a molecule derived from it) may bind to the repressor and deactivate it, preventing it from binding to the operator. Then the promoter site is open to RNA polymerase, the repressed genes are reactivated, and their enzymes are produced. The genetic unit for switching between these alternative metabolisms became known as the lac operon, and it showed how one gene (here the gene that encodes the repres- lac1 sor protein) may regulate the activity of another.",Dogma,Gene expression,gen_X,Lac2,Environment ,Other,Gene regulation,,Gene expression,1
,"In this dynamic activity (of genome), the real agency operates at the level of of transcription: it’s less a matter of what is transcribed regulation (which is genetically encoded) than of when and where that happens. McClintock believed that her “controlling elements” could explain how complex organisms develop many different kinds of cells and tissues even though each cell has the same set of genes.",un-dogma,jumping genes,ju_gen,J3,DNA,Transcription,non-linear DNA interactions,Gene Regulation,DNA,2
,"X- chromosome inactivation was discovered in 1961 by the British geneticist Mary Lyon, and is sometimes called Lyonization. Lyon’s studies of the process led her to a conclusion which seemed so counterintuitive that it was dismissed with condescension by some of her male colleagues. She proposed that each cell in the female body decides at random which of the two X chromosomes— one maternal, one paternal— to turn off. That Lyon was correct is demonstrated in dramatic fashion in tortoiseshell cats, which may have orange or black hairs (and in calico cats, white too) depending on the state of pigment- producing cells called melanocytes. Any melanocyte might or might not, in principle, produce the black pigment, depending on which variant of the pigment-producing gene it carries. This gene is located on the X chromosome.For males, then, the hair is genetically disposed to be all black or all orange, depending on which allele is on its sole X chromosome.But if female cats carry both alleles, one on each X, then random X inactivation throughout the body early in development produces a mosaic of cells producing different pigmentation—which creates, in the growing fetal kitten, patches of cells that give rise to one color or the other, producing a mottled coloration. This means that generally only females can be tortoiseshells....the pigmentation pattern is determined at random, not genetically.",un-dogma,lncRNA,lnc_R,LNC2,DNA,Phenotype,Chromatin Structure,Random phenotype,RNA,2
,"In the 1990s it was found that X inactivation is controlled by a gene called Xist (for X-inactivation-specific transcript), which is expressed only on the X chromosome that will become inactive. The odd thing was that it didn’t seem possible to find the protein Xist encoded—which turned out to be because such a thing doesn’t exist. Rather, it is the RNA transcript of Xist that directly produces inactivation. The Xist RNA molecule became only the second known example of a functional long noncoding (lnc) RNA (“Long” here means more than about two hundred nucleotides; there are also many shorter “small” ncRNA molecules.) Xist ncRNA works by binding to the DNA of the X chromosome that expresses it; the RNA transcripts appear to spread over and coat more or less the entire chromosome. There the RNA molecules help to induce chromosomal changes that persist even in their absence....Another well-studied lncRNA, called Airn, is involved in the phenomenon called imprinting, in which a maternal or paternal allele is silenced during early growth of the embryo and placenta. This happens to only some of our genes; fewer than one hundred imprinted genes have been found in humans. The Airn lncRNA silences(imprints) a gene called Igf2r, the protein product of which otherwise interacts with and disrupts another protein that boosts embryo growth. In other words, Airn seems to regulate genes in double-negative fashion, inhibiting an inhibitor. It is generally the paternal version of Igf2r that gets imprinted, and the Airn RNA does this by interfering with Igf2r transcription as a kind of distracting decoy. The DNA encoding Airn overlaps with the promoter region for Igf2r, so that if Airn is being transcribed, the RNA polymerase enzyme is too busy to get to work on Igf2r. The odd thing here is that it’s not the lncRNA molecule itself that matters, so much as the distracting effect of making it—an effect called transcriptional interference....This is actually a rather common situation in gene regulation by long ncRNAs: the actual product of the transcription is irrelevant, it’s the production process itself that counts....Take the way ncRNA modulates expression of a gene called Bend4. This gene is regulated by a promoter site called Bendr, which itself gets transcribed into a ncRNA. Again it seems the point is not that this RNA molecule “does” anything in itself, but rather, that its transcription somehow turns on a piece of DNA within Bendr that enhances the transcription of Bend4. The ncRNA is a mere signal that this activation has taken place: its production is a kind of lure for switching on the enhancer hidden within the corresponding DNA.",un-dogma,lncRNA,lnc_R,LNC3,RNA,Transcription,Gene regulation,,RNA,2
